Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Čtvrtletí,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2. čtvrtletí 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",3. čtvrtletí 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",4. čtvrtletí 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2016,98.0743588236
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2. čtvrtletí 2016,98.861257536
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",3. čtvrtletí 2016,102.1994719843
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",4. čtvrtletí 2016,98.7772262921
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2017,98.8006725228
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",2. čtvrtletí 2017,104.8222143215
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",3. čtvrtletí 2017,101.31782266
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",4. čtvrtletí 2017,103.8266104481
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2018,102.6737834414
