Typ indexu,Ukazatel,Očištění,Území,CZ NACE,Čtvrtletí,value
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",1. čtvrtletí 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2. čtvrtletí 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",3. čtvrtletí 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",4. čtvrtletí 2014,
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",1. čtvrtletí 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2. čtvrtletí 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",3. čtvrtletí 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",4. čtvrtletí 2015,
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",1. čtvrtletí 2016,101.2958646471
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2. čtvrtletí 2016,98.9005229391
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",3. čtvrtletí 2016,101.4682289434
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",4. čtvrtletí 2016,101.4748310785
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",1. čtvrtletí 2017,105.8135589403
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",2. čtvrtletí 2017,105.6361305123
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",3. čtvrtletí 2017,102.6802635132
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",4. čtvrtletí 2017,102.5738330652
Meziroční index,Index produkce služeb - stálé ceny (%),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Česko,"H,I,J,L,M_sts a N SLUŽBY CELKEM (bez CZ-NACE 701, 72 a 75)",1. čtvrtletí 2018,104.7144286427
