Území;Instituce;Ukazatel;Roky;value
Česko;Finanční leasingové společnosti;Pasiva celkem;2018;306268.419200188
Česko;Finanční leasingové společnosti;Pasiva celkem;2019;313137.133640834
Česko;Finanční leasingové společnosti;Pasiva celkem;2020;294776.147
Česko;Finanční leasingové společnosti;Pasiva celkem;2021;302854.571743701
Česko;Finanční leasingové společnosti;Pasiva celkem;2022;310242.331885281
Česko;Finanční leasingové společnosti;Vlastní kapital;2018;46336.2602655035
Česko;Finanční leasingové společnosti;Vlastní kapital;2019;49114.5021261421
Česko;Finanční leasingové společnosti;Vlastní kapital;2020;44884.487
Česko;Finanční leasingové společnosti;Vlastní kapital;2021;46384.6858673335
Česko;Finanční leasingové společnosti;Vlastní kapital;2022;45942.225994852
Česko;Finanční leasingové společnosti;Základní kapital;2018;10287.5625336632
Česko;Finanční leasingové společnosti;Základní kapital;2019;10348.719408037
Česko;Finanční leasingové společnosti;Základní kapital;2020;9131.5384590358
Česko;Finanční leasingové společnosti;Základní kapital;2021;8073.7282626353
Česko;Finanční leasingové společnosti;Základní kapital;2022;8603.8977905872
Česko;Finanční leasingové společnosti;Dlouhodobé závazky;2018;137943.67500993
Česko;Finanční leasingové společnosti;Dlouhodobé závazky;2019;137882.330966103
Česko;Finanční leasingové společnosti;Dlouhodobé závazky;2020;125222.064266207
Česko;Finanční leasingové společnosti;Dlouhodobé závazky;2021;136463.626041241
Česko;Finanční leasingové společnosti;Dlouhodobé závazky;2022;125977.582463248
Česko;Finanční leasingové společnosti;Krátkodobé závazky;2018;111191.99858728
Česko;Finanční leasingové společnosti;Krátkodobé závazky;2019;115625.676652304
Česko;Finanční leasingové společnosti;Krátkodobé závazky;2020;115259.082733793
Česko;Finanční leasingové společnosti;Krátkodobé závazky;2021;109894.042830866
Česko;Finanční leasingové společnosti;Krátkodobé závazky;2022;127788.473141088
