Území,Ukazatel,Měsíce,value
Česko,Meziroční index stavební produkce celkem (%),leden 2001,109.0424417075
Česko,Meziroční index stavební produkce celkem (%),únor 2001,116.1247953933
Česko,Meziroční index stavební produkce celkem (%),březen 2001,118.1022874631
Česko,Meziroční index stavební produkce celkem (%),duben 2001,115.7508479004
Česko,Meziroční index stavební produkce celkem (%),květen 2001,116.6919604563
Česko,Meziroční index stavební produkce celkem (%),červen 2001,115.6782676816
Česko,Meziroční index stavební produkce celkem (%),červenec 2001,120.0854897712
Česko,Meziroční index stavební produkce celkem (%),srpen 2001,111.4348191977
Česko,Meziroční index stavební produkce celkem (%),září 2001,107.3569057428
Česko,Meziroční index stavební produkce celkem (%),říjen 2001,107.459706595
Česko,Meziroční index stavební produkce celkem (%),listopad 2001,102.0671285909
Česko,Meziroční index stavební produkce celkem (%),prosinec 2001,96.7546862227
Česko,Meziroční index stavební produkce celkem (%),leden 2002,103.0952591683
Česko,Meziroční index stavební produkce celkem (%),únor 2002,114.2799535935
Česko,Meziroční index stavební produkce celkem (%),březen 2002,98.5945725554
Česko,Meziroční index stavební produkce celkem (%),duben 2002,103.8860416945
Česko,Meziroční index stavební produkce celkem (%),květen 2002,104.6956064339
Česko,Meziroční index stavební produkce celkem (%),červen 2002,101.1656829321
Česko,Meziroční index stavební produkce celkem (%),červenec 2002,96.9041545772
Česko,Meziroční index stavební produkce celkem (%),srpen 2002,98.3508554525
Česko,Meziroční index stavební produkce celkem (%),září 2002,105.0886515709
Česko,Meziroční index stavební produkce celkem (%),říjen 2002,106.5003197763
Česko,Meziroční index stavební produkce celkem (%),listopad 2002,104.5038760217
Česko,Meziroční index stavební produkce celkem (%),prosinec 2002,102.3538029473
Česko,Meziroční index stavební produkce celkem (%),leden 2003,98.8639094963
Česko,Meziroční index stavební produkce celkem (%),únor 2003,97.0018001443
Česko,Meziroční index stavební produkce celkem (%),březen 2003,102.9260875238
Česko,Meziroční index stavební produkce celkem (%),duben 2003,103.9272053311
Česko,Meziroční index stavební produkce celkem (%),květen 2003,100.6823147422
Česko,Meziroční index stavební produkce celkem (%),červen 2003,108.9258594829
Česko,Meziroční index stavební produkce celkem (%),červenec 2003,112.701966528
Česko,Meziroční index stavební produkce celkem (%),srpen 2003,119.6588061148
Česko,Meziroční index stavební produkce celkem (%),září 2003,112.4310360153
Česko,Meziroční index stavební produkce celkem (%),říjen 2003,111.6294240353
Česko,Meziroční index stavební produkce celkem (%),listopad 2003,119.334404043
Česko,Meziroční index stavební produkce celkem (%),prosinec 2003,109.4233057427
Česko,Meziroční index stavební produkce celkem (%),leden 2004,119.0377354876
Česko,Meziroční index stavební produkce celkem (%),únor 2004,109.4106262116
Česko,Meziroční index stavební produkce celkem (%),březen 2004,111.4308145028
Česko,Meziroční index stavební produkce celkem (%),duben 2004,115.8729534359
Česko,Meziroční index stavební produkce celkem (%),květen 2004,114.3382183867
Česko,Meziroční index stavební produkce celkem (%),červen 2004,111.6286829534
Česko,Meziroční index stavební produkce celkem (%),červenec 2004,113.8397219451
Česko,Meziroční index stavební produkce celkem (%),srpen 2004,107.7083808253
Česko,Meziroční index stavební produkce celkem (%),září 2004,104.6949088038
Česko,Meziroční index stavební produkce celkem (%),říjen 2004,104.8449600892
Česko,Meziroční index stavební produkce celkem (%),listopad 2004,106.4429461297
Česko,Meziroční index stavební produkce celkem (%),prosinec 2004,96.4866832854
Česko,Meziroční index stavební produkce celkem (%),leden 2005,115.7434959057
Česko,Meziroční index stavební produkce celkem (%),únor 2005,101.5677501377
Česko,Meziroční index stavební produkce celkem (%),březen 2005,89.838822018
Česko,Meziroční index stavební produkce celkem (%),duben 2005,98.2326490303
Česko,Meziroční index stavební produkce celkem (%),květen 2005,104.0380006819
