Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Čtvrtletí,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",2. čtvrtletí 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",3. čtvrtletí 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",4. čtvrtletí 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2016,98.0846284116
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",2. čtvrtletí 2016,102.6365664445
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",3. čtvrtletí 2016,101.0705015851
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",4. čtvrtletí 2016,98.2108836046
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2017,101.4128378633
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",2. čtvrtletí 2017,100.7239280948
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",3. čtvrtletí 2017,100.2086016691
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",4. čtvrtletí 2017,103.8484913279
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2018,100.6876588745
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",2. čtvrtletí 2018,101.1253087278
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",3. čtvrtletí 2018,101.2959628994
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",4. čtvrtletí 2018,100.3543523005
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",1. čtvrtletí 2019,97.7971794105
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",2. čtvrtletí 2019,97.8701111654
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",3. čtvrtletí 2019,103.6116286533
