Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Měsíce,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",leden 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",únor 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",březen 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",duben 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",květen 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",červen 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",červenec 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",srpen 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",září 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",říjen 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",listopad 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",prosinec 2015,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",leden 2016,96.2270154105
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",únor 2016,102.8605125922
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",březen 2016,95.5768770078
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",duben 2016,99.1443556603
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",květen 2016,106.8112576489
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",červen 2016,102.2344231405
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",červenec 2016,92.8923336574
Meziroční index,Index tržeb bez DPH - stálé ceny (%),Bez očištění,Česko,"46 Velkoobchod, kromě motorových vozidel",srpen 2016,109.1200288288
